Location,west-highlands,west-highlands,west-highlands,west-highlands,west-highlands,west-highlands,west-highlands,west-highlands,west-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,the-northwest-highlands,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath,cairngorms-np-and-monadhliath
2020-11-28,Little or no rain,Westerly 15 to 25-30mph strongest higher tops in Lochaber least wind Arran and near Arrochar,2C,Rain mainly morning,Westerly typically 40mph veering northwesterly later morning and easing to 25-30mph,3C dropping abruptly to near or just above freezing point,Occasional rain total rainfall small,West or southwesterly strengthening from 20mph at dawn to around 40mph or near Clyde sea lochs 30mph early afternoon,Briefly near freezing point soon 4C,Little or no rain,Westerly 25 to 35mph strongest Sutherland least wind on and near Skye,2C,Rain much of morning,West 35 to 40mph soon veering northwesterly and easing to 30mph,3C at first dropping abruptly to near freezing point,Occasional rain total rainfall small,West or southwesterly strengthening from 20mph at dawn to around 40mph early afternoon,Briefly near freezing point soon 4C,Rain unlikely,Westerly 25mph to locally 35mph mainly Cairngorm plateau,3C,Rain mainly morning,Westerly typically 40mph veering northwesterly later morning and easing to 30mph,4C at first dropping abruptly to near freezing point,Little or no rain,West or southwesterly strengthening from 20mph at dawn to around 40mph early afternoon,Near freezing point post dawn rising to 6C
2020-11-29,Rain mainly early morning,Westerly 40-45mph veering northwesterly later morning and easing to 25-30mph,3C dropping abruptly mid to late morning to 0C Where exposed to wind feeling like -10C or later colder,Occasional rain total rainfall small,West or southwesterly strengthening from 20mph at dawn to around 40mph or near Clyde sea lochs 30mph early afternoon,Briefly near freezing point soon 4C Will then drop again up to dawn Wednesday,Frequent snow and hail,Southwesterly tending to strengthen 35 to 45mph,-1C from dawn soon falling to -3C,Early rain clears a few snow showers,West 35 to 40mph soon veering northwesterly and easing slightly to 30mph,3C at first dropping abruptly in morning to 0C or -1C northern areas Where exposed to wind feeling like -10C or later colder,Occasional rain total rainfall small,West or southwesterly strengthening from 20mph at dawn to around 40mph middle of day,Briefly near freezing point soon 4C Will then drop again into the night,Frequent snow and hail,Southwesterly tending to strengthen 35 to 45mph,-1C from dawn soon falling to -3C,Rain mainly morning then local snow showers,Westerly 40-45mph veering northwesterly later morning and easing slightly into afternoon to 35-40mph,4C at first dropping abruptly in morning to 0C or -1C northern Cairngorms Where exposed to wind feeling like -12C or later colder,Little or no rain,West or southwesterly strengthening from 20mph at dawn to around 40mph early afternoon,Near freezing point post dawn rising to 6C,Snow showers mostly west,Southwesterly perhaps a brief lull after dawn otherwise tending to strengthen again 35 to 45mph,Around 0C or above up to dawn then falling rapidly to -3C
2020-11-30,Patchy drizzle mainly coasts,West or northwesterly at first 10 to 20mph or sometimes less Tending to turn southwesterly by afternoon reaching 25 locally 30mph at times mainly nearwest of Loch Linnhe,Briefly near freezing point soon 4C Will then drop again up to dawn Wednesday Where exposed to wind on higher tops feeling as cold as -8C,Frequent snow and hail,Southwesterly tending to strengthen 35 to 45mph,-1C at dawn soon falling to -3C,Snow or hail showers risk snow widely,South to southwesterly 20 to 30mph but may well drop below 10mph as day progresses,-4C,Patchy drizzle mainly west coasts,West or southwesterly strengthening from 20mph at dawn to 35-40mph from middle of day on northern mountains nearer 25-30mph around Skye and Great Glen,Briefly near freezing point soon 4C Will then drop again into the night In the strongest wind feeling closer to -10C on higher tops,Frequent snow and hail,Southwesterly tending to strengthen 35 to 45mph,-1C at dawn soon falling to -3C,Snow or hail showers near coast,South to southwesterly 20 to 25mph but may well drop below 10mph as day progresses,-4C,Rain unlikely,Northwesterly or variable 10-15mph or less much of morning locally may be 25mph toward east at dawn Turning southwesterly into afternoon reaching 25-30mph at times soonest Monadhliath,Near freezing point post dawn rising to 6C Where exposed to wind on higher tops feeling as cold as -6C,Snow showers mostly west,Southwesterly perhaps a brief lull after dawn otherwise tending to strengthen again 35 to 45mph,Around 0C at dawn then falling rapidly to -3C,Often dry risk local snow,South to southwesterly 25 to 30mph but may ease gradually to 10-15mph or less,-4C
2020-12-01,Frequent snow and hail isolated thunder,Southwesterly tending to strengthen 35 to 45mph,-1C at dawn soon falling to -3C Directly in the wind feeling like -15C or nearer -20C on higher tops,Snow or hail showers risk snow widely,South to southwesterly 20 to 30mph speeds likely dropping perhaps a marked lull,-4C,Risk snow developing to set in,Low confidence of forecast detail North or northeasterly perhaps a lull but risk reaching 40-50mph high tops,-4C may rise marginally,Frequent snow and hail isolated thunder,Southwesterly tending to strengthen 35 to 45mph,-1C at dawn soon falling to -3C Directly in the wind feeling like -15C or colder on higher tops,Snow or hail showers near coast,South to southwesterly 20 to 25mph speeds likely dropping perhaps a marked lull,-4C,Risk snow developing to set in,Low confidence of forecast detail North or northeasterly perhaps a lull but risk reaching 40-50mph high tops,-4C may rise marginally,Snow showers mostly west,Southwesterly perhaps a brief lull after dawn otherwise typically 35 to 45mph,Around 0C at dawn then falling rapidly to -3C Directly in the wind feeling like -15C or at times nearer -20C on higher tops,Often dry risk local snow,South to southwesterly 25 to 30mph speeds likely dropping gradually perhaps a marked lull,-4C,Risk heavy snow,Low confidence of forecast detail North or northeasterly perhaps a lull but for periods risk up to 40-50mph high tops,-4C may rise slowly to -2C
2020-12-02,Snow or hail showers mostly just near coast,South to southwesterly 20 to 25mph in morning but speeds likely dropping to 10-15mph through middle of day and little wind after sunset,-4C Feeling close to -15C in exposure to wind in morning,Periods of snow,North or northeasterly perhaps a lull around dawn but likely strengthening for periods to 40-50mph high tops,-4C rising to -2C perhaps locally near 0C,Snow flurries,Easterly 20 to 30 perhaps 40mph for a time,-2C,Snow or hail showers near west coast,South to southwesterly 20 to 25mph in morning but speeds dropping to 10-15mph by afternoon and little wind after sunset,-4C Feeling close to -15C in exposure to wind in morning,Periods of snow,North or northeasterly perhaps a lull around dawn but likely strengthening for periods to 40-50mph high tops,-4C rising to -2C in places 0C,Snow on and off,East or northeasterly 30 to 50mph,-2C,Generally dry,Southwesterly 25mph in morning but speeds dropping to 10-15mph afternoon and little wind after sunset,-4C Feeling close to -15C in exposure to wind in morning,Risk heavy snow,North or northeasterly speeds may vary but for periods risk 40-50mph high tops,-4C rising to -2C in places 0C,Snow focused north,Easterly 25 to 40mph perhaps 50mph for a time,-2C
2020-12-03,Periods of snow,North or northeasterly perhaps a lull around dawn but likely strengthening for periods to 40-50mph high tops,-4C rising to -2C in places 0C Will feel closer to -20C or below in exposure to the strongest winds ,Snow flurries,Easterly 20 to 30 perhaps 40mph for a time,-2C,Snow on and off mostly in north and east,Low confidence in detail Northeasterly 15 to 25mph 30mph west coast but may be significant lull later,-2C,Periods of snow,North or northeasterly perhaps a lull around dawn but likely strengthening for periods to 40-50mph high tops,-4C rising to -2C in places 0C Will feel closer to -20C or below in exposure to the strongest winds ,Snow on and off,East or northeasterly 30 to 50mph,-2C,Snow on and off may set in further east,Low confidence in detail Northeasterly 20 to 30mph 35mph near west coast may be significant lull later,-2C,Heavy snow,North or northeasterly speeds may vary but for periods risk 40-50mph high tops,-4C rising to -2C in places 0C Will feel closer to -20C or below in exposure to the strongest winds ,Snow focused north,Easterly 25 to 40mph perhaps 50mph for a time,-2C,Periods of snow may set in,Low confidence in detail Northeasterly 20 to 30mph may be significant lull later ,-2C
2020-12-04,Snow flurries,Northeasterly 35 to 45mph at dawn will ease through the day to reach 15 to 25mph during the afternoon ,-2C but feeling closer to -18C in the strong winds at first ,Snow flurries,Low confidence in detail Northeasterly 15 to 25mph 30mph west coast but may be significant lull later,-2C,Mostly dry occasional snow flurries,Little wind for many hours but becoming northeasterly 10-15mph,-3C,Snow on and off,Northeasterly 35 to 45mph at dawn will ease through the day to reach 15 to 25mph during the afternoon ,-2C but feeling closer to -18C in the strong winds at first ,Snow on and off may set in further east,Low confidence in detail Northeasterly 20 to 30mph 35mph near west coast may be significant lull later,-2C,Mostly dry occasional snow showers,Little wind for many hours but becoming northeasterly 10-15mph,-3C,Snow focused north,Northeasterly 35 to 45mph at dawn will ease through the day to reach 15 to 25mph during the afternoon ,-2C but feeling closer to -18C in the strong winds at first ,Periods of snow may set in,Low confidence in detail Northeasterly 20 to 30mph may be significant lull later ,-2C,Mostly dry occasional snow showers,Little wind for many hours but becoming northeasterly 10-15mph,-3C
2020-12-05,Largely dry,Variable rarely more than 10mph Often little wind,-2C,Mostly dry occasional snow flurries,Little wind early in day but becoming northeasterly 10-15mph later 20mph Strengthening to 40mph after dark,-3C,Snow on and off rain lower down,Detail uncertain North to northwest or variable risk 35 to 50mph particularly west coast but a lull may occur,Rising to around 0C or just above particularly near coasts,Snow flurries,East or northeasterly 10 to 20mph locally 25mph in far north Around the Great Glen may be often lower speeds,-2C Where exposed to strongest wind feeling closer to -12C,Mostly dry occasional snow showers,Northeasterly 10 to 20mph Strengthening to 40mph after dark,-3C,Frequent snow rain lower down,Detail uncertain North may turn easterly risk 30 to perhaps 50mph for periods but a brief lull may occur,Rising to around 0C or just above particularly near coasts,Snow flurries,North to northeasterly 5 to 15mph sometimes 20mph eastern Cairngorms NP,-2C Where exposed to strongest wind feeling closer to -12C,Mostly dry occasional snow showers,Northeasterly 10-15mph but strengthening around 25mph by dusk risk quickly up to 40-50mph into evening,-3C,Frequent snow rain lower down,Detail uncertain North may turn easterly risk 30 to 40mph for periods but a lull may occur,Rising to around 0C
2020-12-06,Mostly dry occasional snow flurries,Little wind early in day but becoming northeasterly 10-15mph later 20mph turning northerly Strengthening to 40mph after dark,-3C Where exposed to breeze on tops feeling closer to -10C by afternoon,Snow on and off rain lower down,Some uncertainty North to northwest or variable risk 35 up to 50mph west coast but a lull is likely to develop,0C or just above particularly near coasts,Mainly dry,Variable becoming mostly southeasterly perhaps little wind for a time up to 20-30mph risk local gusts 40mph,-1 or -2C,Mostly dry snow sets in from dusk,East then northeasterly little wind from dawn then mainly 10 to 20mph strongest on northern summits locally 25-30mph afternoon Strengthening widely to 40mph after dark,-3C Locally feeling close to -15C in exposure to strongest wind in afternoon,Frequent snow rain lower down,Some uncertainty North may turn easterly risk 30 to perhaps 50mph for a time but a marked lull is likely,0C or just above particularly near coasts,Mainly dry,Variable becoming mostly southeasterly perhaps little wind for a time up to 20-30mph,-1C,Snow flurries then snow setting in later heavy snow into night,Northeast then northerly 10-15mph from dawn but strengthening through day 30mph early afternoon and quickly up to 40-50mph from sunset soonest toward the east,-3C Where exposed on higher tops by afternoon feeling like -15C,Frequent snow rain lower down,Some uncertainty Easterly or likely very variable risk 30 to 40mph for periods but a lull may occur,Around 0C,Occasional snow,Variable becoming mostly southeasterly perhaps little wind for a time up to 20-30mph risk local gusts 40mph,-1 or -2C
2020-12-07,Frequent precipitation snow confined to high tops,Mostly northwesterly often 30-35mph coastal hills from Mull to Arran risk up to 50mph at times Inland rarely more than 15-25mph in places little wind,0 to 2C highest near coasts Where exposed to strongest wind in west feeling like -12C,Mainly dry,Variable becoming mostly southeasterly perhaps often little wind but locally up to 20-30mph,Around 0C,Little precipitation,Low confidence in forecast detail South or southeasterly in range 20 to locally 40mph,Around 0C or typically above near west coast,Frequent precipitation sleetsnow confined to high tops,Mostly north or northwesterly locally variable often 30mph onnear Skye risk 50mph for a time in morning Inland and across much of Sutherland rarely more than 15-25mph and at times little wind,0 to 2C highest near coasts Where exposed to strongest wind in west feeling like -12C,Mainly dry,Variable becoming mostly southeasterly perhaps often little wind in places up to 20-30mph,Around 0C,Little precipitation,Low confidence in forecast detail South or southeasterly in range 20 to locally 40mph,Around 0C or typically above near west coast,Frequent precipitation snow confined to high tops,Variable or mostly northwesterly rarely more than 15-25mph in places often little wind,Around 0C or just above,Occasional snow,Variable becoming mostly southeasterly perhaps often little wind locally up to 20-30mph risk isolated gusts 40mph,Around 0C,Little precipitation,Low confidence in forecast detail South or southeasterly in range 20 to locally 40mph,Around 0C
2020-12-08,Patchy snow or rain fading,Variable becoming mostly southeasterly perhaps often little wind but locally up to 20-30mph,Around 0C,Small amounts precipitation,Some uncertainty remains South or southeasterly in range 20 to locally 40mph,Around 0C or typically a degree or so above near west coast,Rain or snow most of day,Southeasterly may be mostly 25mph or less but for a time risk 40 perhaps locally 50mph,0 to 2C highest near west coast,Little precipitation,Variable becoming mostly southeasterly perhaps often little wind in places up to 20-30mph,Around 0C,Little precipitation,Some uncertainty remains South or southeasterly in range 20 to locally 40mph,Around 0C or typically a degree or so above near west coast,Areas of rain and snow,Southeasterly risk 40 locally 50mph but may ease considerably from west,0 to 2C highest near west coast,Occasional snow,Variable becoming mostly southeasterly perhaps often little wind locally up to 20-30mph risk isolated gusts 40mph,Around 0C,Little precipitation,Some uncertainty remains South or southeasterly in range 20 to locally 40mph,Around 0C,Rain or snow least toward north,Southeasterly risk 40 to 50mph but may gradually ease through day,Around 0C
2020-12-09,Rain snow higher areas most widely more southern hills,Southerly typically 25 or 30mph where exposed but both on some higher and lower slopes locally 35 or 40mph,-1C Loch Lomond NP and central Highlands to 2C near and west of Loch Linnhe,Rain or snow most of day,Southeasterly may be mostly 25mph or less but for a time risk 40 perhaps locally 50mph,-1C central highlands and Loch Lomond NP to 2C elsewhere,Rain frequently snow highest tops,Direction may well vary mostly less than 15mph but possibly 25mph - most likely toward the coast,2C,Rain on and off,Southerly typically 25 or 30mph where exposed but both on some higher and lower slopes locally 35 or 40mph,0C near Great Glen otherwise 2C,Areas of rain and snow,Southeasterly risk 40 locally 50mph but may ease considerably from west,0 to 2C highest near west coast,Rain on and off snow highest tops,Direction may well vary mostly less than 15mph but possibly 25mph,2C,Rain or snow on and off,Southerly typically 25mph where exposed but both on some higher and lower slopes locally 35 or 40mph,0C,Rain or snow least toward north,Southeasterly risk 40 to 50mph but may gradually ease through day,-1C although 1C Monadhliath,Rain on and off snow highest tops,Direction may well vary mostly less than 15mph but possibly 25-30mph most likely Cairngorms and Deeside,2C
2020-12-10,Occasional rain,Southeasterly 10 to 20mph most wind Lochaber,2C,Rain frequently snow highest tops,Direction may well vary but becoming westerly less than 15mph but later 25mph near the coast including Clyde sea lochs,2C,Almost incessant rain or snow,Southerly in the range 35 to 50mph but sudden gusts some slopes including lower slopes,Mostly 1 or 2C but pockets where -1C particularly morning,Areas of rain and snow mainly morning,Southeasterly mostly 20 to 30mph but north across Sutherland nearer 30 to 40mph,2C possibly dropping to 1C northwards across Sutherland,Rain on and off snow highest tops,Direction may well vary mostly less than 15mph but possibly 25mph,2C,Frequent rain or snow,Southerly in the range 35 to 50mph but sudden gusts some slopes including lower slopes,Mostly 1 or 2C but pockets where -1C for most of daylight,Areas of rain and snow mainly morning,Southeasterly mostly 20 to 30mph but Deeside and perhaps Cairngorms nearer 30 to 40mph,1C possibly 0C Cairngorms and Deeside,Rain on and off snow highest tops,Direction may well vary mostly less than 15mph but possibly 25mph Cairngorms and Deeside temporarily after dawn,2C,Frequent rain or snow,Southerly in the range 35 to 50mph but sudden gusts some slopes including lower slopes,Mostly -1C but may reach 1C Monadhliath east to Deeside
2020-12-11,Rain slowly easing to showers from west snow higher tops,Direction may well vary but becoming westerly less than 15mph but 25mph near Clyde sea lochs and in afternoon Jura and Mull,1C,Almost incessant rain or snow,Southerly 40 to 50mph but sudden gusts some areas including lower slopes,Mostly 1 or 2C but pockets where -1C particularly morning,Rain on and off snow higher tops,Southerly 30 to 40mph,2C,Rain on and off mainly morning snow highest tops,Direction may well vary mostly less than 15mph but nearer 25mph near Ben Hope,1C,Frequent rain or snow extending north,Southerly soon 40 to 50mph but sudden gusts some areas including lower slopes,Mostly 1 or 2C but pockets where -1C for most of daylight,Rain occasionally snow higher tops,Southerly 20 to 30mph least wind far north,2C,Rain on and off snow higher tops,Direction may well vary mostly less than 15mph but possibly 25mph Deeside tin morning,1C,Frequent rain or snow spreading NE,Southerly 40 to 50mph but sudden gusts some areas including lower slopes,Mostly -1C but may reach 1C Monadhliath east to Deeside,Rain occasionally snow higher tops,Southerly between 25 and 40mph,2C
2020-12-12,Almost incessant rain or snow,Southerly 40 to 50mph but sudden gusts some areas including lower slopes,Mostly 1 or 2C but pockets where -1C particularly morning Feeling closer to -15C in direct exposure to the strongest winds,Rain on and off snow higher tops,Southerly 30 to 40mph,2C,Showery snow across tops ,South to southwesterly 25 to 35mph risk 40mph high tops for a time tending to ease to 20mph into afternoon,2C,Frequent rain or snow extending north,Southerly soon 40 to 50mph but sudden gusts some areas including lower slopes,Mostly 1 or 2C but pockets where -1C for most of daylight Feeling closer to -15C in direct exposure to the strongest winds,Rain occasionally snow higher tops,Southerly 20 to 30mph least wind far north,2C,Showers mostly on and near Skye,South to southwesterly 25 to 35mph risk 40mph high tops for a time tending to ease to 20mph into afternoon,2C,Frequent rain or snow spreading NE,Southerly 40 to 50mph but sudden gusts some areas including lower slopes,Mostly -1C but may reach 1C Monadhliath east to Deeside Feeling closer to -15C in direct exposure to the strongest winds,Rain occasionally snow higher tops,Southerly between 25 and 40mph,2C,A few showers snow tops ,South to southwesterly 25 to 35mph risk 40mph high tops for a time tending to ease to 20mph into afternoon,2C
